Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,4073462.71000,3882710.93000,3830765.88000,3854230.98000,4056385.50000,4379745.47000,4741255.66000,5041155.32000,5375234.28000,5570826.41000,5766742.06000,5923894.61000,5737879.52000,5516394.81000,5536274.29000,5491996.04000,5453215.14000,5639238.88000,6955092.84000,7226335.05000,6725591.94000,6097834.26000,5242312.82000,4477383.11000,2004-01-09
Sistema,Sistema,4319994.08000,4242693.44000,4177811.11000,4173859.58000,4316571.35000,4572202.47000,4711662.68000,5032703.51000,5381319.67000,5573167.97000,5756959.00000,5859507.88000,5695519.60000,5403696.64000,5245791.90000,5066127.49000,5096390.92000,5386235.37000,6701257.05000,6949191.57000,6598388.89000,6135408.84000,5405725.53000,4764372.74000,2004-01-10
Sistema,Sistema,4276260.91000,4039387.07000,3956777.71000,3904506.48000,3951315.10000,4064874.72000,4099131.43000,4301005.13000,4571077.28000,4754007.68000,4861395.52000,4947815.88000,4921113.67000,4763877.91000,4568337.44000,4443035.00000,4409913.81000,4645572.49000,5989789.05000,6376252.05000,6098434.86000,5611524.48000,5009870.60000,4451383.11000,2004-01-11
Sistema,Sistema,4067157.52000,3908826.83000,3812790.80000,3765065.99000,3854814.87000,4001482.86000,4040716.84000,4219094.01000,4544075.25000,4784588.45000,4920801.35000,5076923.31000,5039850.56000,4850267.02000,4659982.88000,4552608.18000,4542291.57000,4787848.97000,6247429.93000,6674652.35000,6364690.75000,5823208.83000,4991046.89000,4338160.90000,2004-01-12
Sistema,Sistema,4068161.39000,3927312.93000,3880052.77000,3890071.20000,4069952.79000,4510169.45000,4978653.32000,5278174.73000,5645344.14000,5860864.68000,6060649.57000,6226668.79000,5975228.46000,5765625.92000,5760385.26000,5739766.28000,5709082.75000,5846214.57000,7150464.22000,7404935.43000,7002350.20000,6376782.20000,5379186.55000,4620007.14000,2004-01-13
Sistema,Sistema,4320776.36000,4207796.16000,4139633.50000,4138458.48000,4357235.90000,4820281.46000,5205172.03000,5489609.72000,5841239.36000,5993688.87000,6164720.57000,6324391.74000,6034464.54000,5807443.58000,5822097.31000,5817802.39000,5832979.67000,5957537.97000,7179235.51000,7424740.47000,7041498.62000,6447359.43000,5432892.96000,4724869.09000,2004-01-14
Sistema,Sistema,4390457.52000,4196926.86000,4185082.99000,4203849.96000,4417254.26000,4923339.10000,5281130.05000,5560986.60000,5897801.72000,6076808.98000,6238560.00000,6419984.69000,6139598.29000,5912477.89000,5889115.92000,5916707.78000,5932012.56000,6086066.86000,7278715.47000,7484656.95000,7089865.69000,6471073.17000,5512728.29000,4779327.35000,2004-01-15
Sistema,Sistema,4409875.53000,4303869.55000,4238187.51000,4258259.82000,4433524.59000,4923645.83000,5356974.34000,5632942.85000,5923504.64000,6062549.18000,6234361.59000,6385309.09000,6179923.60000,5965643.36000,5985341.08000,5950899.34000,5957112.05000,6078753.44000,7235757.00000,7429724.41000,7017744.86000,6425022.09000,5541247.86000,4838540.23000,2004-01-16
Sistema,Sistema,4434716.31000,4228252.55000,4158343.59000,4149780.31000,4288173.08000,4530873.78000,4755670.75000,5106213.70000,5527155.97000,5725799.97000,5905620.64000,6006780.16000,5860991.66000,5559892.84000,5348136.89000,5210187.56000,5177566.55000,5390865.12000,6668044.40000,7075268.87000,6742841.42000,6166041.63000,5377583.75000,4743399.04000,2004-01-17
Sistema,Sistema,4349143.07000,4162726.43000,4008291.22000,3982063.66000,4026535.69000,4129417.68000,4131595.56000,4345804.05000,4703946.19000,4909091.90000,4986069.97000,5102727.78000,5102529.15000,4937764.64000,4726128.40000,4615807.96000,4564959.87000,4790389.20000,6098323.27000,6606530.76000,6371486.89000,5814834.82000,5092877.17000,4491921.83000,2004-01-18
Sistema,Sistema,4133948.18000,4002151.01000,3919248.20000,3928972.88000,4187345.07000,4752987.60000,5235675.51000,5471100.21000,5805823.85000,5992276.47000,6171658.00000,6341938.59000,6086940.88000,5902082.60000,5907059.15000,5893338.76000,5917156.57000,6025949.91000,7123837.86000,7541054.42000,7171220.93000,6510904.16000,5503777.89000,4696448.71000,2004-01-19
Sistema,Sistema,4351073.98000,4198630.70000,4144829.13000,4167884.86000,4397308.93000,4964369.31000,5446225.86000,5632759.19000,5947129.96000,6074845.02000,6256412.22000,6398277.50000,6078844.08000,5871056.54000,5930290.16000,5943912.56000,5882427.43000,6077151.60000,7184145.85000,7457018.20000,7088247.79000,6486337.09000,5472999.52000,4659449.66000,2004-01-20
Sistema,Sistema,4344340.46000,4211366.05000,4145030.38000,4145630.53000,4359411.65000,4984275.43000,5488111.52000,5672928.55000,5931908.37000,6061813.23000,6252314.79000,6386683.09000,6097984.58000,5894428.72000,5902899.88000,5896030.74000,5933553.96000,6129493.56000,7235394.38000,7471929.44000,7030808.11000,6395232.09000,5415448.81000,4666109.01000,2004-01-21
Sistema,Sistema,4347793.69000,4242878.15000,4205150.82000,4213064.37000,4462140.78000,5033050.26000,5473963.88000,5659679.13000,5965871.99000,6169720.40000,6353109.30000,6475100.20000,6157609.39000,5911235.75000,5930295.35000,5925278.39000,5870284.24000,6045168.72000,7166928.17000,7451694.42000,7087385.07000,6455082.10000,5412779.61000,4657469.73000,2004-01-22
Sistema,Sistema,4316792.61000,4202756.04000,4161309.56000,4170069.25000,4392995.67000,5026977.20000,5481927.94000,5675275.39000,5990089.28000,6143125.86000,6302862.59000,6443803.39000,6160941.86000,5951439.37000,5935655.29000,5926717.02000,5893239.35000,5958484.78000,7106672.50000,7479976.55000,7073043.63000,6394695.05000,5409276.09000,4768389.42000,2004-01-23
Sistema,Sistema,4384725.22000,4200722.09000,4121622.51000,4093541.58000,4263505.85000,4543232.67000,4785299.61000,5131678.07000,5541104.22000,5757739.47000,5877601.22000,5974911.37000,5860262.54000,5580139.77000,5360816.91000,5250674.55000,5193332.42000,5308296.39000,6628026.11000,7046302.88000,6716926.25000,6168984.39000,5379349.29000,4718158.48000,2004-01-24
