Code,Name,Type,Disp,RecType,CompanyCode,EnerSource,OperStartdate,State
4YCJ,AGPE PLANTA AGUAZUL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-06-26,OPERACION
4YCL,AGPE MANE COLOMBIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPMC,RAD SOLAR,2025-06-26,OPERACION
4YCN,VILLANUEVA 1,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,RFVG,BIOMASA,2025-10-02,OPERACION
4YCP,AGPE SM MI FUTURO LA PAZ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-06-26,OPERACION
4YFN,AGPE COLEGIO SAGRADA FAMILIA VALLEDUPAR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-07-01,OPERACION
4YGL,AGPE FRIGOMETRO GIRON,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ISGC,RAD SOLAR,2025-07-01,OPERACION
4YGR,AGPE FARMATODO CALI LA FLORA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YGT,AGPE CINDY PAOLA GIL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YGV,AGPE MOTEL FUERTE PARAISO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YGX,AGPE COCINAS CARIBE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YGZ,AGPE HACIENDA LA ESPERANZA 2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YH2,AGPE CALZACOSTA BODEGA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YH4,AGPE SANTIAGO SCRAP SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2025-07-03,OPERACION
4YH6,AGPE JERONIMO MARTINS COLOMBIA SAS TIENDA 747,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YH8,AGPE FARMATODO CALI CIUDAD JARDIN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YHA,AGPE 578 ARA SOLEDAD 2000,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-07-03,OPERACION
4YHC,AGPE 590 ARA BARRANQUILLA EL PUEBLITO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-07-03,OPERACION
4YHE,AGPE LEILA PATRICIA NADER ORDOSGOITIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-07-03,OPERACION
4YHG,AGPE ESTACION SERVICIO PRIMAX,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-07-03,OPERACION
4YHI,AGPE TIENDA ARA 770,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-07-03,OPERACION
4YHK,AGPE PRIMAX GUALANDAY,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-07-03,OPERACION
4YHM,AGPE ANGELA PATRICIA MORALES AVILA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-07-03,OPERACION
4YHO,AGPE EDIFICIO GONDOLA PROPIEDAD HORIZONTAL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-07-03,OPERACION
4YJU,AGPE INVERSIONES EJEMAR SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YJW,AGPE AGPE CENTRO EMPRESARIAL DANN FINANCIERA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YJY,AGPE HACIENDA PICHINDE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YKB,SOLAR PN I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GNCG,RAD SOLAR,2024-12-31,PRUEBAS
4YKD,AGPE AVMONTEOSCURO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-03,OPERACION
4YL2,GD GRANJA LA RUBIELA,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,DUCG,RAD SOLAR,2025-07-19,OPERACION
4YL4,AGPE PANAL RIO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPMC,RAD SOLAR,2025-07-10,OPERACION
4YL6,AGPE LATIN1,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ETTC,RAD SOLAR,2025-07-10,OPERACION
4YL8,PETALO DEL NORTE DE SANTANDER I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ERRG,RAD SOLAR,2026-07-31,OPERACION
4YLA,GD ALEJANDRIA I,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,PRIG,RAD SOLAR,2025-08-22,OPERACION
4YLC,GD ALEJANDRIA III,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,PRIG,RAD SOLAR,2025-10-24,OPERACION
4YLE,GD ALEJANDRIA II,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,PRIG,RAD SOLAR,2025-10-24,OPERACION
4YLG,AGPE ENRIQUE JOSE VEGA PINEDA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-07-10,OPERACION
4YLI,AGPE GLORIA DEL CARMEN LACHARME ARTEAGA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-07-10,OPERACION
4YLK,DELTA I,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2025-07-13,OPERACION
