year,month,monthly_avg,monthly_max,monthly_min,monthly_sum,days
2004,6,51.346728888888876,126.36464,35.16064,36969.644799999995,30
2004,7,52.83593172043011,117.2143,42.2143,39309.9332,31
2004,8,53.984548225806456,120.41052,44.70252,40164.503880000004,31
2004,9,60.11169638888888,189.90277,45.57577,43280.4214,30
2004,10,71.77283973118276,188.63979,57.94979,53398.99275999998,31
2004,11,67.38508638888888,128.99296,47.51596,48517.26219999999,30
2004,12,67.57162037634406,114.63924,56.33224,50273.28555999998,31
2005,1,82.78205247311828,107.82141,30.62241,61589.84704,31
2005,2,73.8643792857143,112.07054,31.79754,49636.862880000015,28
2005,3,69.21760983870965,103.97913,30.14813,51497.90171999999,31
2005,4,68.32830944444443,104.53254,45.53254,49196.382799999985,30
2005,5,69.39890059139783,107.04091,29.62991,51632.78203999999,31
2005,6,59.05736777777777,93.48834,29.56334,42521.30479999999,30
2005,7,77.80062575268816,141.89924,28.24024,57883.665559999994,31
2005,8,85.82832973118279,127.50478,27.65878,63856.27732,31
2005,9,87.75672888888886,186.74894,56.74894,63184.84479999998,30
2005,10,81.21680919354836,112.43041,27.58141,60425.30603999998,31
2005,11,56.20127194444446,169.18424,27.90724,40464.91580000001,30
2005,12,79.969533172043,130.24272,60.06172,59497.33267999999,31
2006,1,79.02648419354836,114.42521,28.71321,58795.704239999985,31
2006,2,75.52092404761906,127.18893,31.94993,50750.06096000001,28
2006,3,65.78744462365593,119.02745,28.41345,48945.85880000001,31
2006,4,54.01196916666665,123.11384,30.85784,38888.61779999999,30
2006,5,53.73773559139785,123.00862,30.65362,39980.87528,31
2006,6,52.98562305555557,164.43078,33.03378,38149.64860000001,30
2006,7,59.31639994623655,135.18699,29.46599,44131.40156,31
2006,8,66.5327544623656,130.82553,28.50453,49500.369320000005,31
2006,9,103.44861444444444,278.07422,30.51722,74483.0024,30
2006,10,130.51170456989246,281.2308,26.7148,97100.70819999998,31
2006,11,80.43596611111111,208.58708,27.90808,57913.895599999996,30
2006,12,64.23785268817204,147.14835,33.69535,47792.962400000004,31
2007,1,88.46341580645164,145.59894,33.70494,65816.78136000001,31
2007,2,106.98868125000003,147.6844,33.1344,71896.39380000002,28
2007,3,100.7919005376344,154.6995,32.6325,74989.174,31
2007,4,91.82196416666669,117.10201,34.52401,66111.81420000002,30
2007,5,74.9284127419355,116.92682,30.17382,55746.73908000002,31
2007,6,75.8605958333333,113.858,30.906,54619.628999999986,30
2007,7,80.26138231182794,137.67901,30.20301,59714.46843999999,31
2007,8,85.21333526881719,153.71101,33.41101,63398.72143999999,31
2007,9,74.03187861111111,136.49418,31.01318,53302.9526,30
2007,10,80.52224779569896,137.77944,30.98344,59908.55236000002,31
2007,11,62.60941055555557,150.30188,32.05388,45078.77560000001,30
2007,12,85.05587080645161,135.49252,31.90152,63281.567879999995,31
2008,1,95.3144840860215,115.31864,31.05364,70913.97615999999,31
2008,2,100.63301701149429,159.85154,30.12354,70040.57984000002,29
2008,3,89.54313983870965,155.14141,30.83341,66620.09603999999,31
2008,4,102.940951,152.79054,29.46054,74117.48472,30
2008,5,96.52427575268817,281.42514,29.19914,71814.06116,31
2008,6,76.02115527777775,152.64399,32.04099,54735.23179999998,30
2008,7,62.64224602150538,213.15291,30.31291,46605.831040000005,31
2008,8,73.09718220430109,243.41674,34.45474,54384.30356000001,31
2008,9,80.72590426388886,211.15353,36.83653,58122.651069999985,30
2008,10,82.86675500000001,304.13813,37.31813,61652.86572000001,31
2008,11,87.22603555555557,438.84313,37.63613,62802.7456,30
2008,12,107.64402349462367,316.93317,37.55517,80087.15348000001,31
2009,1,133.1804692473118,204.03198,42.63698,99086.26912,31
2009,2,122.25374714285715,191.16414,90.48414,82154.51808000001,28
2009,3,108.17770048387094,191.40489,40.79789,80484.20915999998,31
2009,4,88.94394027777774,193.6018,67.1488,64039.63699999997,30
2009,5,118.08310666666667,182.63044,77.35644,87853.83136,31
2009,6,125.58334611111113,195.95586,87.30286,90420.00920000001,30
2009,7,125.51687145161286,198.96969,33.58969,93384.55235999996,31
2009,8,127.68792532258061,292.89331,33.03331,94999.81643999998,31
2009,9,182.50949849999998,287.17159,100.17159,131406.83891999998,30
2009,10,189.9344259139785,321.27021,97.27021,141311.21288,31
2009,11,152.5286283888888,248.25775,97.54775,109820.61243999994,30
2009,12,195.04916118279579,307.4565,32.8925,145116.57592000006,31
2010,1,152.25787838709672,305.68727,97.68727,113279.86151999996,31
2010,2,195.59115833333334,336.29714,100.30622,131437.2584,28
2010,3,189.98188661290322,338.81525,151.79421,141346.52363999997,31
2010,4,195.53652449999998,327.83174,139.74654,140786.29764,30
2010,5,150.32433354838707,344.66874,131.09733,111841.30416,31
2010,6,91.33092038888888,360.64472,33.42189,65758.26268,30
2010,7,82.94435392473119,271.70196,32.02496,61710.59932,31
2010,8,84.8581626344086,253.4079,32.91228,63134.473000000005,31
2010,9,112.30941244444445,244.55771,64.70563,80862.77696,30
2010,10,136.52222268817206,296.94136,83.08127,101572.53368000001,31
2010,11,92.0179383888889,307.38116,32.33273,66252.91563999999,30
2010,12,66.69853204301076,141.68951,34.54769,49623.70784,31
2011,1,89.47051849462366,158.32017,34.33713,66566.06576,31
2011,2,105.68437875,222.95001,83.18053,71019.90252,28
2011,3,79.72670209677419,172.42626,35.43692,59316.66636,31
2011,4,73.41635188888888,174.85061,33.99156,52859.77336,30
2011,5,58.49071333333333,125.32069,34.15926,43517.09072,31
2011,6,60.061634777777776,171.03122,33.2911,43244.37704,30
2011,7,55.51386188172043,120.15126,33.79875,41302.313239999996,31
2011,8,88.97861715053763,400.94546,36.84593,66200.09116,31
2011,9,92.50953477777779,403.70595,38.84833,66606.86504,30
2011,10,73.6277569892473,301.84664,36.04618,54779.0512,31
2011,11,70.6061923888889,385.45956,38.25913,50836.45852,30
2011,12,55.80698241935484,163.17011,37.31163,41520.39492,31
2012,1,53.610379247311826,270.86704,36.00708,39886.12216,31
2012,2,78.49598258620689,268.32147,37.96615,54633.20388,29
2012,3,119.10521413978495,201.68587,51.56715,88614.27932,31
2012,4,56.99427538888889,192.36595,34.9881,41035.87828,30
2012,5,46.85869338709678,204.07645,36.26586,34862.86788,31
2012,6,87.35788649999999,225.39902,36.44435,62897.67827999999,30
2012,7,79.17754602150538,233.86273,37.29584,58908.09424,31
2012,8,140.26220086021505,251.75171,92.14625,104355.07744,31
2012,9,183.3778401666667,307.6061,122.34266,132032.04492000001,30
2012,10,198.00380634408603,298.52052,41.65419,147314.83192,31
2012,11,166.9982268888889,260.22098,51.64385,120238.72336,30
2012,12,180.35339037634407,230.47068,40.73064,134182.92244,31
2013,1,184.45569682795698,235.71949,40.41535,137235.03844,31
2013,2,181.1771139285714,256.82966,41.5863,121751.02056,28
2013,3,137.53884661290323,264.54362,41.30683,102328.90187999999,31
2013,4,229.82422311111114,430.10984,105.38235,165473.44064000002,30
2013,5,139.81515123655913,246.32375,41.98654,104022.47252,31
2013,6,143.10235705555553,259.15744,47.7671,103033.69708,30
2013,7,232.14024295698923,401.48434,133.46915,172712.34076,31
2013,8,150.5500188172043,255.48613,41.14718,112009.21399999999,31
2013,9,144.20590494444443,206.52867,43.74913,103828.25156,30
2013,10,211.9383305913979,436.04474,71.9515,157682.11796,31
2013,11,210.38550494444445,451.39467,45.08482,151477.56355999998,30
2013,12,164.03299462365592,242.83085,47.14958,122040.548,31
2014,1,160.47509758064518,204.04977,38.94195,119393.4726,31
2014,2,187.96510994047617,256.86192,142.2942,126312.55387999999,28
2014,3,151.30309220430107,323.03394,44.61862,112569.5006,31
2014,4,373.7469440555555,480.53779,123.18811,269097.79972,30
2014,5,381.9789959677419,469.71755,152.14816,284192.373,31
2014,6,334.8714939444444,474.11074,79.50153,241107.47564,30
2014,7,184.66963333333334,445.32939,39.5602,137394.2072,31
2014,8,200.1672788172043,441.24292,78.10115,148924.45544,31
2014,9,177.31851972222225,341.72901,79.14665,127669.3342,30
2014,10,207.02634451612903,405.3829,67.96903,154027.60032,31
2014,11,166.5681392777778,222.93777,41.23623,119929.06028,30
2014,12,175.0546524731183,230.80778,45.73417,130240.66144000001,31
2015,1,187.59591198924733,276.29866,46.7915,139571.35852,31
2015,2,166.23123005952382,239.24157,116.73135,111707.3866,28
2015,3,205.50295086021504,281.77117,112.7275,152894.19543999998,31
2015,4,161.30443544444447,235.13455,109.21268,116139.19352,30
2015,5,259.198930967742,686.49457,66.17095,192844.00464000003,31
2015,6,186.41654933333334,352.36946,51.11658,134219.91552,30
2015,7,206.15807016129034,314.73144,122.47548,153381.6042,31
2015,8,183.7084048924731,305.70871,106.78114,136679.05324,31
2015,9,458.834687111111,1495.04297,169.41409,330360.97471999994,30
2015,10,1106.619161612903,2821.52055,116.47544,823324.65624,31
2015,11,766.9919809444443,823.06932,470.25632,552234.22628,30
2015,12,630.1935496236558,840.22795,291.10417,468864.00091999996,31
2016,1,554.1589817204301,865.47708,193.96768,412294.2824,31
2016,2,645.9999125287356,869.44202,328.57102,449615.93912,29
2016,3,830.0181993010752,884.83666,359.95553,617533.5402800001,31
2016,4,332.49326411111105,807.5004,144.8333,239395.15015999996,30
2016,5,140.3103826344086,311.48808,102.9991,104390.92468,31
2016,6,167.9719161666667,305.46507,87.96984,120939.77964000001,30
2016,7,129.21437403225806,202.1345,66.00954,96135.49428,31
2016,8,198.01512661290323,324.06247,62.08956,147323.25420000002,31
2016,9,150.36365694444444,306.88203,61.34039,108261.833,30
2016,10,184.94696940860214,304.44952,63.52285,137600.54524,31
2016,11,166.6776217777778,278.13222,84.08744,120007.88768000001,30
2016,12,107.45283930107527,301.55453,61.10099,79944.91244,31
2017,1,111.50643618279571,225.06073,61.37672,82960.78852,31
2017,2,156.99468714285715,383.45367,79.16775,105500.42976,28
2017,3,119.85909301075269,375.00054,60.3121,89175.1652,31
2017,4,96.47702588888889,165.55008,62.0882,69463.45864,30
2017,5,71.6504759139785,265.03876,62.51177,53307.954079999996,31
2017,6,68.50058444444444,129.4091,65.85951,49320.4208,30
2017,7,70.6040726344086,143.18065,64.45391,52529.43003999999,31
2017,8,92.5729870967742,155.30354,64.27168,68874.3024,31
2017,9,124.32170822222223,193.64477,65.62164,89511.62991999999,30
2017,10,137.3653070967742,206.11879,65.40824,102199.78848,31
2017,11,126.71987500000002,198.15643,65.5848,91238.31000000001,30
2017,12,101.34635295698926,187.21661,64.51316,75401.6866,31
2018,1,124.47677397849462,163.23987,61.76035,92610.71983999999,31
2018,2,140.03725404761906,188.18259,64.2137,94105.03472000001,28
2018,3,172.1338955376344,244.28513,67.2984,128067.61828000001,31
2018,4,115.66846983333333,206.13898,61.45854,83281.29827999999,30
2018,5,75.11800924731183,149.80004,63.65188,55887.79888,31
2018,6,73.93359038888889,151.7282,61.83139,53232.18508,30
2018,7,79.88897677419355,185.94342,64.42346,59437.39872,31
2018,8,95.03049618279569,231.37481,70.14347,70702.68916,31
2018,9,101.43225138888889,207.46398,67.62195,73031.22099999999,30
2018,10,121.85983844086022,510.75657,69.86003,90663.7198,31
2018,11,104.1186328888889,555.11901,70.60501,74965.41568,30
2018,12,191.33680064516128,394.92114,70.26698,142354.57968,31
2019,1,285.4236690322581,451.34796,125.37579,212355.20976000003,31
2019,2,303.47030708333335,510.56716,147.49387,203932.04636,28
2019,3,262.8579170967742,362.55737,75.92131,195566.29032,31
2019,4,189.79297133333333,325.0225,76.63123,136650.93936,30
2019,5,172.12713086021506,320.30196,70.80004,128062.58536,31
2019,6,113.2835581111111,306.60782,69.94693,81564.16184,30
2019,7,122.33132236559139,203.46993,70.91957,91014.50384,31
2019,8,147.25797629032257,910.4733,77.28161,109559.93436,31
2019,9,284.75647466666663,455.6999,79.28773,205024.66176,30
2019,10,321.28708887096775,524.79845,76.65287,239037.59412,31
2019,11,232.89346255555557,346.72262,83.49673,167683.29304,30
2019,12,308.50904005376344,476.3929,72.58244,229530.72580000001,31
2020,1,323.0557560215054,503.70537,71.33575,240353.48247999998,31
2020,2,430.51645477011493,646.0224,165.52639,299639.45252,29
2020,3,339.49155575268816,566.67702,139.07384,252581.71748,31
2020,4,252.15912066666667,406.90801,133.10514,181554.56688,30
2020,5,360.98439231182795,565.98569,192.6879,268572.38788,31
2020,6,306.58412555555554,573.18777,185.56493,220740.5704,30
2020,7,156.87740865591397,272.53862,85.82044,116716.79204,31
2020,8,158.96601145161287,230.36541,81.84998,118270.71251999999,31
2020,9,150.94044994444442,210.34032,86.86352,108677.12396,30
2020,10,198.31224322580644,399.0742,83.55605,147544.30896,31
2020,11,179.97131527777776,745.50467,79.98192,129579.347,30
2020,12,163.22487806451613,287.83939,78.45736,121439.30928,31
2021,1,181.25787419354842,290.30796,85.27039,134855.85840000003,31
2021,2,270.12728821428567,378.99191,186.79121,181525.53768,28
2021,3,165.90488822580645,261.18309,98.79532,123433.23684,31
2021,4,162.63107233333332,257.81396,113.42141,117094.37208,30
2021,5,100.5332526344086,192.81038,85.86537,74796.73995999999,31
2021,6,90.42513722222222,238.52257,85.06299,65106.0988,30
2021,7,91.71977376344087,141.46066,84.42198,68239.51168000001,31
2021,8,93.61904397849462,154.41838,84.85436,69652.56872,31
2021,9,108.01792188888888,225.07545,84.23982,77772.90376,30
2021,10,103.75400887096775,224.84078,81.75681,77192.9826,31
2021,11,104.17486472222224,229.0866,86.7496,75005.9026,30
2021,12,335.9437103225806,592.91275,90.06578,249942.12047999998,31
2022,1,289.91886715053766,624.59382,97.90116,215699.63716,31
2022,2,399.1646476190476,731.24373,187.02835,268238.6432,28
2022,3,227.0001759677419,451.77374,93.49038,168888.13092,31
2022,4,143.79478555555553,1035.13068,91.62023,103532.2456,30
2022,5,105.48973924731183,336.27431,89.05597,78484.366,31
2022,6,104.14529288888889,258.33982,96.13084,74984.61088,30
2022,7,109.39845967741935,407.56239,97.10167,81392.454,31
2022,8,150.8862905376344,491.88477,100.13317,112259.40015999999,31
2022,9,251.0653988888889,845.12173,107.6855,180767.0872,30
2022,10,298.06713940860215,917.11099,109.3505,221761.95172,31
2022,11,184.5359235,342.58864,110.27839,132865.86492,30
2022,12,338.08440107526883,526.56698,122.54572,251534.7944,31
2023,1,371.9813147311828,736.19781,121.34082,276754.09816,31
2023,2,526.685957797619,866.48502,125.22603,353932.96364000003,28
2023,3,293.495411827957,601.48638,116.63739,218360.58640000003,31
2023,4,226.95729705555556,486.6655,122.7311,163409.25388,30
2023,5,569.6889885483871,907.96797,115.14189,423848.60748,31
2023,6,462.19300150000004,917.23107,108.9938,332778.96108000004,30
2023,7,521.6455363978495,748.8036,199.5699,388104.27908,31
2023,8,529.8244637634408,833.12719,100.5861,394189.40103999997,31
2023,9,1014.986097222222,1063.19379,639.08013,730789.99,30
2023,10,1015.4398694623657,1595.68608,105.41225,755487.26288,31
2023,11,504.54991005555553,1068.93066,100.7856,363275.93524,30
2023,12,656.1912600537634,973.05084,99.41605,488206.29747999995,31
2024,1,558.7221962365592,721.15667,95.85161,415689.314,31
2024,2,568.7060877586206,712.65071,99.80455,395819.43707999995,29
2024,3,622.7735682258065,1015.73481,225.8872,463343.53476,31
2024,4,748.6567620555555,1267.59336,96.36406,539032.86868,30
2024,5,291.54985301075266,694.71839,97.34622,216913.09064,31
2024,6,280.6973618888889,945.62322,106.93005,202102.10056,30
2024,7,285.09281123655916,910.02057,104.51862,212109.05156,31
2024,8,567.4177558602152,843.04864,106.75245,422158.81036,31
2024,9,873.7069535555555,2498.80407,403.22436,629069.00656,30
2024,10,1529.1356636559142,2674.77761,490.26459,1137676.9337600002,31
2024,11,1046.433431277778,2675.64965,101.9863,753432.0705200002,30
2024,12,741.0041555913979,1357.06547,110.96267,551307.09176,31
2025,1,519.6601483870968,950.9113,113.12895,386627.1504,31
2025,2,428.7316530952381,928.42105,109.91668,288107.67088,28
2025,3,228.48156306451614,943.7391,108.27726,169990.28292,31
2025,4,140.62817022222222,933.45986,106.03523,101252.28256,30
2025,5,126.6994243548387,1024.01778,104.82636,94264.37172,31
2025,6,112.5089095,825.72634,104.16326,81006.41484,30
2025,7,134.93311478494624,1047.89629,103.68361,100390.2374,31
