Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date,daily_sum_kWh
Sistema,Sistema,5236812.99,5080557.09,4992049.55,4985636.51,5190482.45,5804821.47,6150230.73,6381480.12,6810931.06,7150419.54,7359265.56,7492811.62,7218263.17,7065237.11,7207391.41,7219283.14,7149510.77,7089926.96,8044815.39,8421195.81,8024812.76,7406481.03,6567093.16,5645151.5,2010-01-28,159694660.89999998
Sistema,Sistema,5276209.44,5092249.33,5053010.18,5009637.89,5248027.99,5858486.33,6164062.69,6418888.19,6865828.64,7128638.13,7384283.43,7483548.2,7213176.67,7245963.15,7358038.34,7337694.55,7219188.37,7174003.92,8100078.11,8404799.1,8028353.82,7428200.24,6695466.66,5872557.9,2010-01-29,161060391.27
Sistema,Sistema,5358527.24,5158203.59,5073839.78,5055702.79,5147758.28,5401678.23,5505934.07,5904265.17,6431581.35,6765590.33,7010856.73,7163101.1,7064314.0,6778416.69,6505506.14,6401022.01,6276608.03,6379650.75,7464116.03,7998035.78,7690115.14,7093937.24,6370408.98,5786286.34,2010-01-30,151785455.79
Sistema,Sistema,5310943.54,5041458.82,4896544.8,4803436.81,4779460.42,4867588.17,4740216.67,4960192.47,5281662.98,5569484.02,5779397.91,5946595.99,5994252.2,5864311.04,5707404.41,5623283.48,5563798.01,5593072.5,6701487.95,7443069.84,7327041.62,6965550.21,6296770.49,5531237.81,2010-01-31,136588262.16
Sistema,Sistema,5046379.92,4866475.07,4809358.83,4791701.27,5056954.61,5775770.24,5992442.09,6155472.48,6619661.55,6942991.39,7260535.46,7467027.72,7227052.98,7194637.88,7245905.77,7314048.72,7269280.54,7170575.19,8056666.06,8587120.61,8271543.52,7669738.24,6724304.93,5793150.92,2010-02-01,159308795.99
Sistema,Sistema,5299676.54,5116219.71,5011566.31,5003856.79,5284721.62,6057966.82,6278010.2,6397435.5,6836213.33,7114261.19,7405364.07,7558361.71,7267178.27,7236968.61,7368884.93,7384171.53,7263275.48,7132232.87,8023032.11,8590234.07,8297755.42,7688052.21,6794362.0,5785772.98,2010-02-02,162195574.26999998
Sistema,Sistema,5296750.32,5161969.97,5080960.83,5073871.06,5392752.62,6169780.33,6386053.11,6487283.85,6939555.13,7201660.36,7462798.43,7673224.46,7384292.64,7268040.69,7369238.09,7373462.19,7315471.41,7177409.71,8081122.81,8686057.95,8316512.46,7712478.74,6814832.52,5838891.97,2010-02-03,163664471.65
Sistema,Sistema,5387630.53,5177490.91,5112286.82,5125385.03,5448536.96,6252668.47,6448994.72,6564368.11,6981746.35,7278266.09,7509572.45,7732499.13,7477770.76,7420491.68,7550031.1,7485914.21,7418110.83,7395680.67,8346394.93,8861554.27,8418652.96,7890239.45,6985023.92,5975665.46,2010-02-04,166244975.81
Sistema,Sistema,5537758.09,5296162.6,5210029.09,5187737.29,5477861.91,6240535.75,6473360.37,6640549.84,7056162.87,7259231.49,7463441.47,7604712.33,7423223.97,7432135.23,7555510.44,7536329.94,7421257.62,7281885.65,8151588.0,8632306.04,8262104.08,7707589.18,6931062.04,6100507.72,2010-02-05,165883043.01000002
Sistema,Sistema,5625997.64,5421715.27,5262331.74,5203849.21,5286908.67,5547470.02,5725566.11,6095981.97,6587435.07,6845622.5,7039066.07,7181692.32,7046763.63,6822416.99,6687116.62,6555808.62,6455640.87,6583355.13,7731512.95,8111128.72,7738538.09,7254102.48,6495376.08,5827254.3,2010-02-06,155132651.07000002
