Id,Value,Date
Sistema,0.74539,2003-09-21
Sistema,0.74473,2003-09-22
Sistema,0.74415,2003-09-23
Sistema,0.74408,2003-09-24
Sistema,0.7442,2003-09-25
Sistema,0.74437,2003-09-26
Sistema,0.74607,2003-09-27
Sistema,0.74821,2003-09-28
Sistema,0.74801,2003-09-29
Sistema,0.74959,2003-09-30
Sistema,0.75102,2003-10-01
Sistema,0.75065,2003-10-02
Sistema,0.74963,2003-10-03
Sistema,0.74955,2003-10-04
Sistema,0.75156,2003-10-05
Sistema,0.75156,2003-10-06
Sistema,0.75098,2003-10-07
Sistema,0.75089,2003-10-08
Sistema,0.7532,2003-10-09
Sistema,0.75613,2003-10-10
Sistema,0.76104,2003-10-11
Sistema,0.76124,2003-10-12
Sistema,0.76319,2003-10-13
Sistema,0.76558,2003-10-14
Sistema,0.76822,2003-10-15
Sistema,0.77099,2003-10-16
Sistema,0.77167,2003-10-17
Sistema,0.77092,2003-10-18
Sistema,0.77192,2003-10-19
Sistema,0.7767,2003-10-20
Sistema,0.78224,2003-10-21
Sistema,0.78347,2003-10-22
Sistema,0.78247,2003-10-23
Sistema,0.78288,2003-10-24
Sistema,0.78414,2003-10-25
Sistema,0.78509,2003-10-26
Sistema,0.78562,2003-10-27
Sistema,0.78751,2003-10-28
Sistema,0.79127,2003-10-29
Sistema,0.79678,2003-10-30
Sistema,0.80107,2003-10-31
Sistema,0.80435,2003-11-01
Sistema,0.80743,2003-11-02
Sistema,0.8088,2003-11-03
Sistema,0.80869,2003-11-04
Sistema,0.80679,2003-11-05
Sistema,0.80654,2003-11-06
Sistema,0.80621,2003-11-07
Sistema,0.80785,2003-11-08
Sistema,0.80885,2003-11-09
Sistema,0.80976,2003-11-10
Sistema,0.81236,2003-11-11
Sistema,0.81349,2003-11-12
Sistema,0.81349,2003-11-13
Sistema,0.81383,2003-11-14
Sistema,0.81724,2003-11-15
Sistema,0.81808,2003-11-16
Sistema,0.81772,2003-11-17
Sistema,0.81642,2003-11-18
Sistema,0.81447,2003-11-19
Sistema,0.81403,2003-11-20
Sistema,0.81324,2003-11-21
Sistema,0.81571,2003-11-22
Sistema,0.81758,2003-11-23
Sistema,0.81998,2003-11-24
Sistema,0.82078,2003-11-25
Sistema,0.82148,2003-11-26
Sistema,0.82083,2003-11-27
Sistema,0.82094,2003-11-28
Sistema,0.82293,2003-11-29
Sistema,0.82503,2003-11-30
Sistema,0.83005,2003-12-01
Sistema,0.83408,2003-12-02
Sistema,0.83828,2003-12-03
Sistema,0.83978,2003-12-04
Sistema,0.84156,2003-12-05
Sistema,0.84381,2003-12-06
Sistema,0.84436,2003-12-07
Sistema,0.84489,2003-12-08
Sistema,0.84371,2003-12-09
Sistema,0.84158,2003-12-10
Sistema,0.83953,2003-12-11
Sistema,0.83683,2003-12-12
Sistema,0.83479,2003-12-13
Sistema,0.83395,2003-12-14
Sistema,0.83205,2003-12-15
Sistema,0.82835,2003-12-16
Sistema,0.82525,2003-12-17
Sistema,0.82257,2003-12-18
Sistema,0.81238,2003-12-19
Sistema,0.81093,2003-12-20
Sistema,0.81026,2003-12-21
Sistema,0.80879,2003-12-22
Sistema,0.80598,2003-12-23
Sistema,0.80379,2003-12-24
Sistema,0.80364,2003-12-25
Sistema,0.80154,2003-12-26
Sistema,0.80123,2003-12-27
Sistema,0.8021,2003-12-28
Sistema,0.79981,2003-12-29
Sistema,0.79722,2003-12-30
Sistema,0.79442,2003-12-31
Sistema,0.79883,2004-01-01
Sistema,0.78998,2004-01-02
Sistema,0.78673,2004-01-03
Sistema,0.7842,2004-01-04
Sistema,0.78157,2004-01-05
Sistema,0.77879,2004-01-06
Sistema,0.77726,2004-01-07
Sistema,0.77579,2004-01-08
Sistema,0.7747,2004-01-09
Sistema,0.77552,2004-01-10
Sistema,0.77539,2004-01-11
Sistema,0.77451,2004-01-12
Sistema,0.77178,2004-01-13
Sistema,0.76844,2004-01-14
Sistema,0.76485,2004-01-15
Sistema,0.76158,2004-01-16
Sistema,0.7597,2004-01-17
Sistema,0.75764,2004-01-18
Sistema,0.75405,2004-01-19
Sistema,0.75055,2004-01-20
Sistema,0.74678,2004-01-21
Sistema,0.74349,2004-01-22
Sistema,0.74002,2004-01-23
Sistema,0.73316,2004-01-24
Sistema,0.73016,2004-01-25
Sistema,0.7256,2004-01-26
Sistema,0.72211,2004-01-27
Sistema,0.71762,2004-01-28
Sistema,0.71281,2004-01-29
Sistema,0.7077,2004-01-30
Sistema,0.70302,2004-01-31
Sistema,0.69859,2004-02-01
Sistema,0.69366,2004-02-02
Sistema,0.68814,2004-02-03
Sistema,0.68278,2004-02-04
Sistema,0.6774,2004-02-05
Sistema,0.6709,2004-02-06
Sistema,0.66606,2004-02-07
Sistema,0.66157,2004-02-08
Sistema,0.65621,2004-02-09
Sistema,0.65063,2004-02-10
Sistema,0.64495,2004-02-11
Sistema,0.63985,2004-02-12
Sistema,0.6359,2004-02-13
Sistema,0.63096,2004-02-14
Sistema,0.62677,2004-02-15
Sistema,0.62118,2004-02-16
Sistema,0.61513,2004-02-17
Sistema,0.60974,2004-02-18
Sistema,0.60603,2004-02-19
Sistema,0.6019,2004-02-20
Sistema,0.59821,2004-02-21
Sistema,0.59679,2004-02-22
Sistema,0.59399,2004-02-23
Sistema,0.59377,2004-02-24
Sistema,0.59223,2004-02-25
Sistema,0.59003,2004-02-26
Sistema,0.58711,2004-02-27
Sistema,0.58564,2004-02-28
Sistema,0.58455,2004-02-29
Sistema,0.58651,2004-03-01
Sistema,0.58594,2004-03-02
Sistema,0.5842,2004-03-03
Sistema,0.58067,2004-03-04
Sistema,0.5758,2004-03-05
Sistema,0.57303,2004-03-06
Sistema,0.57064,2004-03-07
Sistema,0.56614,2004-03-08
Sistema,0.56217,2004-03-09
Sistema,0.5583,2004-03-10
Sistema,0.55855,2004-03-11
Sistema,0.55731,2004-03-12
Sistema,0.55496,2004-03-13
Sistema,0.55397,2004-03-14
Sistema,0.55275,2004-03-15
Sistema,0.54879,2004-03-16
Sistema,0.5445,2004-03-17
Sistema,0.53916,2004-03-18
Sistema,0.53383,2004-03-19
Sistema,0.52936,2004-03-20
Sistema,0.5261,2004-03-21
Sistema,0.52256,2004-03-22
Sistema,0.51796,2004-03-23
Sistema,0.51536,2004-03-24
Sistema,0.51355,2004-03-25
Sistema,0.51174,2004-03-26
Sistema,0.51197,2004-03-27
Sistema,0.51332,2004-03-28
Sistema,0.51103,2004-03-29
Sistema,0.50629,2004-03-30
Sistema,0.50367,2004-03-31
Sistema,0.50156,2004-04-01
Sistema,0.49985,2004-04-02
Sistema,0.50275,2004-04-03
Sistema,0.5039,2004-04-04
Sistema,0.50282,2004-04-05
Sistema,0.498,2004-04-06
Sistema,0.49341,2004-04-07
Sistema,0.49176,2004-04-08
Sistema,0.48984,2004-04-09
Sistema,0.48846,2004-04-10
Sistema,0.48706,2004-04-11
Sistema,0.48408,2004-04-12
Sistema,0.48189,2004-04-13
Sistema,0.48051,2004-04-14
Sistema,0.48166,2004-04-15
Sistema,0.48199,2004-04-16
Sistema,0.48199,2004-04-17
Sistema,0.4823,2004-04-18
Sistema,0.4824,2004-04-19
Sistema,0.48305,2004-04-20
Sistema,0.48456,2004-04-21
Sistema,0.48519,2004-04-22
Sistema,0.49204,2004-04-23
Sistema,0.49556,2004-04-24
Sistema,0.49996,2004-04-25
Sistema,0.50217,2004-04-26
Sistema,0.50434,2004-04-27
Sistema,0.50793,2004-04-28
Sistema,0.50719,2004-04-29
Sistema,0.50785,2004-04-30
Sistema,0.50946,2004-05-01
Sistema,0.51289,2004-05-02
Sistema,0.51549,2004-05-03
Sistema,0.51827,2004-05-04
Sistema,0.52091,2004-05-05
Sistema,0.52488,2004-05-06
Sistema,0.52728,2004-05-07
Sistema,0.5308,2004-05-08
Sistema,0.5467,2004-05-09
Sistema,0.55521,2004-05-10
Sistema,0.55783,2004-05-11
Sistema,0.56037,2004-05-12
Sistema,0.56264,2004-05-13
Sistema,0.56715,2004-05-14
Sistema,0.56796,2004-05-15
Sistema,0.57107,2004-05-16
Sistema,0.57564,2004-05-17
Sistema,0.57857,2004-05-18
