Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,59.14417,34.14417,34.14417,34.14417,34.14417,2000-03-19
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,63.14417,63.14417,63.14417,34.14417,34.14417,34.14417,2000-03-20
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,59.14417,62.14417,69.14417,62.14417,34.14417,34.14417,34.14417,2000-03-21
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,35.14417,35.14417,35.14417,35.14417,34.14417,55.14417,56.64417,35.14417,35.14417,35.14417,35.14417,35.14417,59.14417,68.64417,68.64417,68.64417,59.14417,35.14417,35.14417,2000-03-22
Sistema,Sistema,35.14417,35.14417,35.14417,35.14417,35.14417,35.14417,60.14417,60.14417,60.14417,60.14417,60.14417,60.14417,60.14417,35.14417,57.34417,60.14417,60.14417,60.14417,69.14417,69.14417,65.14417,60.14417,35.14417,35.14417,2000-03-23
Sistema,Sistema,35.14417,35.14417,35.14417,35.14417,35.14417,35.14417,61.14417,35.14417,56.04417,35.64417,61.14417,62.90917,61.14417,35.14417,35.14417,35.14417,35.14417,58.37917,75.14417,75.14417,75.14417,65.14417,35.14417,35.14417,2000-03-24
Sistema,Sistema,35.14417,35.14417,35.14417,35.14417,35.14417,35.14417,21.53117,21.53117,21.53117,21.53117,21.53117,21.53117,21.53117,21.53117,21.53117,21.53117,21.53117,21.53117,65.14417,65.14417,34.14417,21.53117,35.14417,35.14417,2000-03-25
Sistema,Sistema,35.14417,35.14417,35.14417,35.14417,35.14417,35.14417,21.53117,21.53117,45.14417,45.14417,45.14417,45.14417,45.14417,35.14417,35.14417,21.53117,21.53117,21.53117,50.14417,64.14417,50.14417,35.14417,35.14417,35.14417,2000-03-26
Sistema,Sistema,35.14417,35.14417,35.14417,35.14417,35.14417,35.14417,35.14417,35.14417,35.14417,35.14417,35.14417,35.94417,35.14417,35.14417,21.53117,35.14417,35.14417,35.14417,65.14417,69.14417,65.14417,35.14417,35.14417,35.14417,2000-03-27
Sistema,Sistema,35.14417,35.14417,35.14417,35.14417,35.14417,55.14417,21.53117,21.53117,35.14417,35.14417,35.14417,35.14417,35.14417,21.53117,35.14417,35.14417,35.14417,35.14417,65.64417,68.14417,65.64417,35.14417,35.14417,35.14417,2000-03-28
