year,month,embalse_avg,embalse_min
2016,10,0.6310196774193548,0.61237
2016,11,0.6890926666666667,0.65842
2016,12,0.7485374193548388,0.73073
2017,1,0.7121403225806452,0.67983
2017,2,0.6131585714285714,0.55408
2017,3,0.54798,0.53611
2017,4,0.5891913333333334,0.58228
2017,5,0.6673903225806451,0.58756
2017,6,0.752138,0.71554
2017,7,0.7905522580645161,0.7831
2017,8,0.7750358064516129,0.75194
2017,9,0.7484059999999999,0.74026
2017,10,0.7245451612903225,0.69783
2017,11,0.7173200000000001,0.7019
2017,12,0.6886164516129033,0.645
2018,1,0.6343138709677419,0.59396
2018,2,0.54276,0.49601
2018,3,0.4329622580645161,0.39368
2018,4,0.43722133333333335,0.40257
2018,5,0.5801106451612903,0.4765
2018,6,0.7434096666666666,0.6799
2018,7,0.8004583870967742,0.78806
2018,8,0.8092316129032258,0.80083
2018,9,0.79586,0.77702
2018,10,0.8018435483870968,0.77824
2018,11,0.8187273333333334,0.80868
2018,12,0.7685045161290323,0.71729
2019,1,0.6575977419354838,0.6008
2019,2,0.5423482142857143,0.49884
2019,3,0.45791096774193546,0.43281
2019,4,0.4473856666666666,0.43321
2019,5,0.5002883870967743,0.44876
2019,6,0.6478093333333333,0.58473
2019,7,0.7285906451612904,0.71172
2019,8,0.741341935483871,0.71403
2019,9,0.6786016666666667,0.65963
2019,10,0.6754922580645161,0.65616
2019,11,0.7034283333333333,0.68954
2019,12,0.6731067741935484,0.65523
2020,1,0.6024322580645162,0.54178
2020,2,0.47915,0.43426
2020,3,0.38639,0.3462
2020,4,0.3350086666666667,0.31812
2020,5,0.32882,0.32102
2020,6,0.41006966666666667,0.35728
2020,7,0.5624696774193548,0.4776
2020,8,0.6305900000000001,0.61348
2020,9,0.6712290000000001,0.64746
2020,10,0.684374193548387,0.67206
2020,11,0.731403,0.68899
2020,12,0.7425306451612904,0.71882
2021,1,0.6833806451612903,0.62779
2021,2,0.5715107142857143,0.53419
2021,3,0.549968064516129,0.52979
2021,4,0.60316,0.57946
2021,5,0.7419035483870967,0.63326
2021,6,0.8335073333333334,0.8097
2021,7,0.8475377419354838,0.82905
2021,8,0.8590267741935483,0.83925
2021,9,0.8539323333333333,0.84044
2021,10,0.8408929032258065,0.83389
2021,11,0.8435330000000001,0.83033
2021,12,0.81324,0.79052
2022,1,0.739245806451613,0.67796
2022,2,0.6225089285714286,0.5882
2022,3,0.5873364516129032,0.56658
2022,4,0.5977116666666666,0.57801
2022,5,0.6773641935483872,0.63515
2022,6,0.763101,0.72133
2022,7,0.8385732258064517,0.81397
2022,8,0.8669364516129032,0.84982
2022,9,0.8495663333333333,0.81858
2022,10,0.83231,0.8131
2022,11,0.8648923333333334,0.85262
2022,12,0.8300151612903226,0.79041
2023,1,0.7673245161290323,0.71332
2023,2,0.6533185714285714,0.59494
2023,3,0.5995487096774192,0.57689
2023,4,0.5958153333333333,0.58082
2023,5,0.6044674193548387,0.58151
2023,6,0.6990540000000001,0.6653
2023,7,0.776978064516129,0.72388
2023,8,0.8182619354838709,0.8076
2023,9,0.7741733333333334,0.73683
2023,10,0.7244674193548387,0.71135
2023,11,0.7528063333333334,0.72813
2023,12,0.7194351612903226,0.70199
2024,1,0.6366235483870968,0.55791
2024,2,0.5017865517241379,0.43805
2024,3,0.3679051612903226,0.31508
2024,4,0.3066433333333334,0.28564
2024,5,0.3807796774193548,0.32946
2024,6,0.5146396666666667,0.44024
2024,7,0.5931732258064517,0.58004
2024,8,0.5732287096774193,0.54517
2024,9,0.5158686666666666,0.49437
2024,10,0.5306796774193548,0.50353
2024,11,0.6263850000000001,0.55342
2024,12,0.6639174193548387,0.65458
2025,1,0.6574496774193548,0.60387
2025,2,0.5681992857142857,0.54715
2025,3,0.5159025806451613,0.4906
2025,4,0.5364186666666666,0.49406
2025,5,0.6752019354838709,0.60583
2025,6,0.7863666666666667,0.74258
2025,7,0.8230690322580645,0.80891
2025,8,0.82518,0.81594
