Values_code,max_hourly_kW,total_gen_kWh,days_active,capacidad_MW,gen_anual_GWh,factor_planta,Code,Name,Type,Disp,RecType,CompanyCode,EnerSource,OperStartdate,State
3J2B,19880.0,40315907.84,366,19.88,40.31590784,0.23150264509431018,3J2B,SOLAR PLANETA RICA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,RAD SOLAR,2024-04-17,OPERACION
3J2H,9498.0,19379588.28,366,9.498,19.37958828,0.23292080091843417,3J2H,PETALO DE CORDOBA II,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,BCCG,RAD SOLAR,2023-12-16,PRUEBAS
3J4D,9966.36,25402779.419999998,366,9.96636,25.402779419999998,0.29096487226866796,3J4D,CAIMAN CIENAGUERO,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GNYG,RAD SOLAR,2023-12-15,PRUEBAS
3J4R,9921.6,19667370.5,366,9.9216,19.6673705,0.22628745552344998,3J4R,PARQUE SOLAR DINAMARCA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GNYG,RAD SOLAR,2024-03-11,PRUEBAS
3J4T,10232.55,19433650.44,366,10.23255,19.43365044,0.21680355791814776,3J4T,PARQUE SOLAR VERSALLES,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GNYG,RAD SOLAR,2024-03-11,PRUEBAS
3J4V,10491.08,20828641.15,349,10.49108,20.82864115,0.22664003719498138,3J4V,PARQUE SOLAR LA MENA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GNYG,RAD SOLAR,2024-02-16,PRUEBAS
3J83,9501.9,16570466.56,339,9.5019,16.57046656,0.19907658170360645,3J83,GUAMO,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ERRG,RAD SOLAR,2026-07-30,OPERACION
3J85,10497.0,18867919.84,337,10.497,18.86791984,0.20518930435875785,3J85,NUMBANA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ERRG,RAD SOLAR,2024-09-20,PRUEBAS
3JBP,979.09,1723823.06,337,0.97909,1.72382306,0.20098607312698477,3JBP,LA NENERA,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,ESNG,RAD SOLAR,2024-01-13,OPERACION
3JNR,5923.5,14803174.1,256,5.9235,14.8031741,0.28528067140670643,3JNR,AUTOG UNIBOL 1,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,COGG,GAS,2024-02-11,OPERACION
3JP6,1016.04,1623110.14,315,1.01604,1.6231101399999999,0.18236146771987363,3JP6,GD BASILICA,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPSG,RAD SOLAR,2024-02-16,OPERACION
3JP8,621.72,1001228.1,314,0.62172,1.0012281,0.18383749148407555,3JP8,GD LA URIBE,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPSG,RAD SOLAR,2024-03-14,OPERACION
3JPA,638.04,1073129.17,317,0.6380399999999999,1.0731291699999999,0.19199945130191806,3JPA,GD ALFEREZ,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPSG,RAD SOLAR,2024-02-22,OPERACION
3JPC,1012.23,1349550.75,313,1.01223,1.34955075,0.15219693626401168,3JPC,GD CHICORAL,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPSG,RAD SOLAR,2024-05-19,OPERACION
3JPE,633.57,1009252.38,309,0.6335700000000001,1.00925238,0.18184487728918597,3JPE,GD LOS CHORROS,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPSG,RAD SOLAR,2024-02-16,OPERACION
3JPK,1052.34,1774852.2,302,1.0523399999999998,1.7748522,0.19253159495043143,3JPK,MINIGRANJA SAN PEDRO,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,NTCG,RAD SOLAR,2024-02-27,OPERACION
3JPM,1398.82,1711278.98,298,1.39882,1.71127898,0.13965448144518938,3JPM,BARAYA,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2024-02-18,OPERACION
3JQA,1019.64,1419458.45,314,1.0196399999999999,1.41945845,0.15891749621900758,3JQA,GD EL BANCO,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPSG,RAD SOLAR,2024-02-22,OPERACION
3JQC,1501.04,2023209.92,311,1.50104,2.0232099199999998,0.15386667679054544,3JQC,GANDALF,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2024-02-22,OPERACION
3JQE,1088.65,2092598.61,312,1.0886500000000001,2.09259861,0.21942876026547897,3JQE,CANAHUATE,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2024-02-22,OPERACION
3K6T,10407.6,14896606.06,265,10.4076,14.89660606,0.16339269437104356,3K6T,SOLAR ALEJANDRIA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GNYG,RAD SOLAR,2024-04-27,PRUEBAS
3K6X,1030.2,1634146.25,292,1.0302,1.63414625,0.18107782524827826,3K6X,GD LA HONDA,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPSG,RAD SOLAR,2024-03-14,OPERACION
3K8A,1438.8,344986.8,254,1.4387999999999999,0.3449868,0.02737145871178798,3K8A,CELSIA SOLAR ALUMINA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPSG,RAD SOLAR,2024-03-24,PRUEBAS
3K8C,19863.23,22947261.42,231,19.863229999999998,22.94726142,0.13187937663768476,3K8C,BSB 503,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,RAD SOLAR,2024-09-26,OPERACION
3K8E,19858.8,23327012.29,235,19.8588,23.32701229,0.13409173496621307,3K8E,BSB 504,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,RAD SOLAR,2024-09-27,OPERACION
3KJK,9918.0,10676989.87,230,9.918,10.67698987,0.1228911534629625,3KJK,SOL Y CIELO I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EYCG,RAD SOLAR,2024-05-26,PRUEBAS
3KL4,24800.85,37355872.16,248,24.800849999999997,37.35587216,0.17194446835638819,,,,,,,,,
3KLQ,5309.0,21596499.0,209,5.309,21.596499,0.46437253100834197,3KLQ,AUTOG TERMOMACAGUA 1,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,GSAG,GAS,2024-06-29,OPERACION
3KOD,6615.32,777953.52,94,6.61532,0.7779535200000001,0.013424517551993675,,,,,,,,,
3KOL,1022.82,893223.21,220,1.02282,0.8932232099999999,0.09969116742243374,3KOL,GD PALERMO,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPSG,RAD SOLAR,2024-12-03,OPERACION
3KVZ,2571.6,403314.6,214,2.5716,0.40331459999999997,0.017903437335532273,3KVZ,AUTOG BIOS CONTEGRAL CARTAGO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPMG,RAD SOLAR,2024-05-24,PRUEBAS
3KXQ,1446.13,149286.62,171,1.4461300000000001,0.14928662,0.011784453401957993,3KXQ,AUTOG BIOS CONTEGRAL NEIVA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPMG,RAD SOLAR,2024-05-24,PRUEBAS
3L9B,6569.61,1792012.69,213,6.56961,1.79201269,0.03113847833825738,3L9B,AUTOG EL COPEY,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,GECG,RAD SOLAR,2024-05-31,PRUEBAS
3LLY,10859.1,8272276.23,170,10.8591,8.272276230000001,0.08696151343554671,3LLY,PARQUE SOLAR HONDA II,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,AAGG,RAD SOLAR,2024-08-31,PRUEBAS
3LMH,9936.0,9256173.34,177,9.936,9.25617334,0.10634468520908241,3LMH,JEQUES,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GNYG,RAD SOLAR,2024-10-04,PRUEBAS
3LMJ,10236.8,9132689.67,155,10.236799999999999,9.13268967,0.1018428105342209,3LMJ,CELSIA SOLAR BUGALAGRANDE,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,RAD SOLAR,2024-09-21,PRUEBAS
3MHB,1117.05,937064.77,138,1.1170499999999999,0.93706477,0.09576193022268578,3MHB,MINIGRANJA LA PAZ VALLENATA,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2024-08-13,OPERACION
3MS2,18957.6,10026701.1,128,18.9576,10.0267011,0.06037687166053619,3MS2,CELSIA SOLAR PUERTO TEJADA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPSG,RAD SOLAR,2026-02-18,OPERACION
3N5E,16.82,6577.15,167,0.01682,0.0065771499999999995,0.04463830024052687,3N5E,AGPE SUB LIBERTADOR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,CSSG,RAD SOLAR,2024-07-18,OPERACION
3NDE,977.55,500278.65,101,0.9775499999999999,0.50027865,0.0584209860687503,3NDE,GD ERCO TOLDADO,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,ERRG,RAD SOLAR,2024-09-19,OPERACION
3NGJ,1011.84,694938.6900000001,132,1.01184,0.6949386900000001,0.0784026137382704,3NGJ,GD CHIMBI,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPSG,RAD SOLAR,2024-08-28,OPERACION
3NLE,1067.0,726596.62,127,1.067,0.72659662,0.0777364757588596,3NLE,GD NAOS I,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2024-08-27,OPERACION
3NLG,3069.88,1395010.98,81,3.06988,1.39501098,0.0518742845867341,3NLG,ROVIRA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,CTCG,RAD SOLAR,2025-02-14,PRUEBAS
3NLZ,9963.6,5520620.0600000005,94,9.9636,5.520620060000001,0.0632510106192935,3NLZ,SOLAR OLD T,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GNCG,RAD SOLAR,2024-10-16,PRUEBAS
3NNZ,4900.0,5733276.0,50,4.9,5.733276,0.1335680738048644,3NNZ,AUTOG TERMOCOROCITO 1,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,GSAG,GAS,2024-10-29,OPERACION
3NR4,1051.73,591943.07,99,1.05173,0.5919430699999999,0.06424976925384993,3NR4,MINIGRANJA EL MOLINO,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2024-09-30,OPERACION
3NR8,1068.07,596204.47,107,1.0680699999999999,0.59620447,0.06372229442318034,3NR8,LA INGLESA,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2024-09-16,OPERACION
3NU4,936.24,508850.1,106,0.93624,0.5088501,0.062043825257310205,3NU4,GD FINCA JM,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,GNYG,RAD SOLAR,2024-09-16,OPERACION
3PK3,1262.62,171914.87,90,1.2626199999999999,0.17191487,0.015543065340179433,3PK3,AUTOG MILPA SAN CARLOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,ENDG,RAD SOLAR,2024-09-29,PRUEBAS
3PKF,1500.0,165672.0,96,1.5,0.165672,0.012608219178082193,3PKF,AUTOG UNIMINAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,ENDG,RAD SOLAR,2024-09-29,PRUEBAS
3PKH,12309.99,3436414.73,67,12.309989999999999,3.43641473,0.0318671896995595,,,,,,,,,
3PKN,9882.91,1793053.52,68,9.882909999999999,1.79305352,0.020711154395400215,,,,,,,,,
3PWF,8698.8,1338751.2,79,8.698799999999999,1.3387512,0.017568570314532444,3PWF,AUTOG SOLAR PALMIRA II BERRY,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPSG,RAD SOLAR,2025-12-13,OPERACION
3PXC,19118.03,2847898.27,34,19.118029999999997,2.84789827,0.017005023124110747,3PXC,BSB 501,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,RAD SOLAR,2025-11-01,OPERACION
3PXE,18936.99,4106149.17,50,18.93699,4.10614917,0.02475253404717578,3PXE,BSB 500,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,RAD SOLAR,2025-11-05,OPERACION
