year,month,monthly_avg,monthly_max,monthly_min,monthly_sum,days
2006,3,5913092.335927419,8259464.45,3692034.41,4399340697.929999,31
2006,4,5773155.760875001,8220880.58,3582833.72,4156672147.83,30
2006,5,5865916.946733871,8157670.77,3975833.65,4364242208.37,31
2006,6,5916620.637069444,8167117.16,4131962.64,4259966858.69,30
2006,7,5990438.043051075,8243363.59,4187867.62,4456885904.03,31
2006,8,6049188.725739247,8236747.99,4250541.43,4500596411.95,31
2006,9,6158807.790125,8364003.65,4392957.65,4434341608.89,30
2006,10,6145969.404583333,8475039.68,4007006.88,4572601237.01,31
2006,11,6122482.782416667,8519321.45,4326510.89,4408187603.34,30
2006,12,6066007.037956989,8679170.26,3908522.78,4513109236.24,31
2007,1,5937896.836908602,8356616.82,3804050.24,4417795246.66,31
2007,2,6200607.545520834,8484301.28,4441836.22,4166808270.59,28
2007,3,6170901.738212366,8405149.37,4351068.49,4591150893.2300005,31
2007,4,5918862.607916667,8444274.22,107989.57,4261581077.7,30
2007,5,6063364.433131721,8431392.74,4157517.86,4511143138.25,31
2007,6,6032549.644236112,8373327.83,4148631.25,4343435743.85,30
2007,7,6114747.067634408,8386478.4,3971529.87,4549371818.32,31
2007,8,6144162.030658602,8447734.37,4004264.49,4571256550.809999,31
2007,9,6223166.730111111,8505968.72,4280214.57,4480680045.68,30
2007,10,6161845.246196236,8536391.45,4237886.31,4584412863.17,31
2007,11,6269305.204486112,8657364.83,4165749.44,4513899747.2300005,30
2007,12,6229284.488682796,9075639.35,3938367.65,4634587659.58,31
2008,1,6028810.632446236,8471319.02,3941418.08,4485435110.54,31
2008,2,6213813.166393678,8508536.92,4208747.76,4324813963.809999,29
2008,3,5865747.353346773,8493484.99,3852240.06,4364116030.889999,31
2008,4,6205211.042680556,8512967.85,4148483.21,4467751950.73,30
2008,5,6058035.190752688,8577597.63,4004928.51,4507178181.92,31
2008,6,6101507.180569444,8459374.62,4213576.13,4393085170.01,30
2008,7,6175930.81795699,8516970.61,4360280.13,4594892528.56,31
2008,8,6197842.1838709675,8586649.03,4337951.0,4611194584.8,31
2008,9,6434674.634805556,8793564.06,4489926.06,4632965737.06,30
2008,10,6417445.554005376,8791329.52,4334501.73,4774579492.18,31
2008,11,6269022.804763889,8737021.6,4173938.34,4513696419.43,30
2008,12,6351194.605053763,9107534.16,3959323.12,4725288786.16,31
2009,1,6169749.261034946,8597055.81,3802213.43,4590293450.21,31
2009,2,6356301.994672619,8810426.44,4316539.03,4271434940.42,28
2009,3,6363535.452836021,8648670.29,4375323.65,4734470376.91,31
2009,4,6275424.309708333,8768920.86,4190776.15,4518305502.99,30
2009,5,6351517.343333334,8926783.53,3978387.03,4725528903.440001,31
2009,6,6264845.179152777,8744599.02,4032217.31,4510688528.99,30
2009,7,6338821.33751344,8749536.43,4275229.75,4716083075.11,31
